53.1,53.4,53.5,53.5,0.441,0.373,0.339,0.178,0,-0.109,52.7
52.7,53.1,53.4,53.5,0.461,0.441,0.373,0.339,0.178,0,52.4
52.4,52.7,53.1,53.4,0.348,0.461,0.441,0.373,0.339,0.178,52.2
52.2,52.4,52.7,53.1,0.127,0.348,0.461,0.441,0.373,0.339,52
52,52.2,52.4,52.7,-0.18,0.127,0.348,0.461,0.441,0.373,52
52,52,52.2,52.4,-0.588,-0.18,0.127,0.348,0.461,0.441,52.4
52.4,52,52,52.2,-1.055,-0.588,-0.18,0.127,0.348,0.461,53
53,52.4,52,52,-1.421,-1.055,-0.588,-0.18,0.127,0.348,54
54,53,52.4,52,-1.52,-1.421,-1.055,-0.588,-0.18,0.127,54.9
54.9,54,53,52.4,-1.302,-1.52,-1.421,-1.055,-0.588,-0.18,56
56,54.9,54,53,-0.814,-1.302,-1.52,-1.421,-1.055,-0.588,56.8
56.8,56,54.9,54,-0.475,-0.814,-1.302,-1.52,-1.421,-1.055,56.8
56.8,56.8,56,54.9,-0.193,-0.475,-0.814,-1.302,-1.52,-1.421,56.4
56.4,56.8,56.8,56,0.088,-0.193,-0.475,-0.814,-1.302,-1.52,55.7
55.7,56.4,56.8,56.8,0.435,0.088,-0.193,-0.475,-0.814,-1.302,55
55,55.7,56.4,56.8,0.771,0.435,0.088,-0.193,-0.475,-0.814,54.3
54.3,55,55.7,56.4,0.866,0.771,0.435,0.088,-0.193,-0.475,53.2
53.2,54.3,55,55.7,0.875,0.866,0.771,0.435,0.088,-0.193,52.3
52.3,53.2,54.3,55,0.891,0.875,0.866,0.771,0.435,0.088,51.6
51.6,52.3,53.2,54.3,0.987,0.891,0.875,0.866,0.771,0.435,51.2
51.2,51.6,52.3,53.2,1.263,0.987,0.891,0.875,0.866,0.771,50.8
50.8,51.2,51.6,52.3,1.775,1.263,0.987,0.891,0.875,0.866,50.5
50.5,50.8,51.2,51.6,1.976,1.775,1.263,0.987,0.891,0.875,50
50,50.5,50.8,51.2,1.934,1.976,1.775,1.263,0.987,0.891,49.2
49.2,50,50.5,50.8,1.866,1.934,1.976,1.775,1.263,0.987,48.4
48.4,49.2,50,50.5,1.832,1.866,1.934,1.976,1.775,1.263,47.9
47.9,48.4,49.2,50,1.767,1.832,1.866,1.934,1.976,1.775,47.6
47.6,47.9,48.4,49.2,1.608,1.767,1.832,1.866,1.934,1.976,47.5
47.5,47.6,47.9,48.4,1.265,1.608,1.767,1.832,1.866,1.934,47.5
47.5,47.5,47.6,47.9,0.79,1.265,1.608,1.767,1.832,1.866,47.6
47.6,47.5,47.5,47.6,0.36,0.79,1.265,1.608,1.767,1.832,48.1
48.1,47.6,47.5,47.5,0.115,0.36,0.79,1.265,1.608,1.767,49
49,48.1,47.6,47.5,0.088,0.115,0.36,0.79,1.265,1.608,50
50,49,48.1,47.6,0.331,0.088,0.115,0.36,0.79,1.265,51.1
51.1,50,49,48.1,0.645,0.331,0.088,0.115,0.36,0.79,51.8
51.8,51.1,50,49,0.96,0.645,0.331,0.088,0.115,0.36,51.9
51.9,51.8,51.1,50,1.409,0.96,0.645,0.331,0.088,0.115,51.7
51.7,51.9,51.8,51.1,2.67,1.409,0.96,0.645,0.331,0.088,51.2
51.2,51.7,51.9,51.8,2.834,2.67,1.409,0.96,0.645,0.331,50
50,51.2,51.7,51.9,2.812,2.834,2.67,1.409,0.96,0.645,48.3
48.3,50,51.2,51.7,2.483,2.812,2.834,2.67,1.409,0.96,47
47,48.3,50,51.2,1.929,2.483,2.812,2.834,2.67,1.409,45.8
45.8,47,48.3,50,1.485,1.929,2.483,2.812,2.834,2.67,45.6
45.6,45.8,47,48.3,1.214,1.485,1.929,2.483,2.812,2.834,46
46,45.6,45.8,47,1.239,1.214,1.485,1.929,2.483,2.812,46.9
46.9,46,45.6,45.8,1.608,1.239,1.214,1.485,1.929,2.483,47.8
47.8,46.9,46,45.6,1.905,1.608,1.239,1.214,1.485,1.929,48.2
48.2,47.8,46.9,46,2.023,1.905,1.608,1.239,1.214,1.485,48.3
48.3,48.2,47.8,46.9,1.815,2.023,1.905,1.608,1.239,1.214,47.9
47.9,48.3,48.2,47.8,0.535,1.815,2.023,1.905,1.608,1.239,47.2
47.2,47.9,48.3,48.2,0.122,0.535,1.815,2.023,1.905,1.608,47.2
47.2,47.2,47.9,48.3,0.009,0.122,0.535,1.815,2.023,1.905,48.1
48.1,47.2,47.2,47.9,0.164,0.009,0.122,0.535,1.815,2.023,49.4
49.4,48.1,47.2,47.2,0.671,0.164,0.009,0.122,0.535,1.815,50.6
50.6,49.4,48.1,47.2,1.019,0.671,0.164,0.009,0.122,0.535,51.5
51.5,50.6,49.4,48.1,1.146,1.019,0.671,0.164,0.009,0.122,51.6
51.6,51.5,50.6,49.4,1.155,1.146,1.019,0.671,0.164,0.009,51.2
51.2,51.6,51.5,50.6,1.112,1.155,1.146,1.019,0.671,0.164,50.5
50.5,51.2,51.6,51.5,1.121,1.112,1.155,1.146,1.019,0.671,50.1
50.1,50.5,51.2,51.6,1.223,1.121,1.112,1.155,1.146,1.019,49.8
49.8,50.1,50.5,51.2,1.257,1.223,1.121,1.112,1.155,1.146,49.6
49.6,49.8,50.1,50.5,1.157,1.257,1.223,1.121,1.112,1.155,49.4
49.4,49.6,49.8,50.1,0.913,1.157,1.257,1.223,1.121,1.112,49.3
49.3,49.4,49.6,49.8,0.62,0.913,1.157,1.257,1.223,1.121,49.2
